,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sectors,1 квартал 2010г.,2 квартал 2010г.,3 квартал 2010г.,4 квартал 2010г.,1 квартал 2011г.,2 квартал 2011г.,3 квартал 2011г.,4 квартал 2011г.,1 квартал 2012г.,2 квартал 2012г.,3 квартал 2012г.,4 квартал 2012г.,1 квартал 2013г.,2 квартал 2013г.,3 квартал 2013г.,4 квартал 2013г.,1 квартал 2014г.,2 квартал 2014г.,3 квартал 2014г.,4 квартал 2014г.,1 квартал 2015г.,2 квартал 2015г.,3 квартал 2015г.,4 квартал 2015г.,1 квартал 2016г.,2 квартал 2016г.,3 квартал 2016г.,4 квартал 2016г.,1 квартал 2017г.,2 квартал 2017г.,3 квартал 2017г.,4 квартал 2017г.,1 квартал 2018г.,2 квартал 2018г.,3 квартал 2018г.,4 квартал 2018г.,1 квартал 2019г.,2 квартал 2019г.,3 квартал 2019г.,4 квартал 2019г.,1 квартал 2020г.,2 квартал 2020г.,3 квартал 2020г.,4 квартал 2020г.,1 квартал 2021г.,2 квартал 2021г.,3 квартал 2021г.,4 квартал 2021г.,1 квартал 2022г,2 квартал 2022г,3 квартал 2022г,4 квартал 2022г,1 квартал 2023г. ,2 квартал 2023г.,3 квартал 2023г.,4 квартал 2023г.
"Сельское, лесное и рыбное хозяйство","90,224.5","136,481.3","406,817.2","350,471.9","115,401.2","138,049.5","497,155.5","658,432.4","133,618.7","159,308.6","548,922.7","488,183.6","134,647.2","201,307.2","742,958.1","542,320.0","161,844.2","231,650.1","759,914.6","564,377.1","179,588.5","255,580.4","884,813.9","605,883.7","193,406.6","287,342.1","1,169,294.1","683,371.4","214,414.1","307,733.4","1,046,075.6","888,061.5","238,092.5","367,971.3","1,052,895.6","1,058,539.7","274,580.6","404,331.2","1,218,270.7","1,208,378.2","336,754.6","466,856.2","1,523,635.1","1,481,643.2","397,251.6","525,432.6","1,786,872.6","1,513,209.7","468,601.8","640,830.9","2,755,294.3","2,048,602.1","542,781.1","733,480.9","1,820,458.2","1,625,934.1"
Горнодобывающая промышленность и разработка карьеров,"830,790.6","901,962.6","858,343.9","1,658,170.8","1,096,759.2","1,270,182.8","1,194,728.8","1,441,582.1","1,143,503.3","1,254,652.6","1,304,394.5","1,586,190.1","1,347,420.8","1,206,433.3","1,358,297.8","1,565,542.1","1,490,932.5","1,421,174.5","1,553,285.9","1,517,379.1","1,264,490.2","1,315,280.7","1,307,191.6","1,283,605.2","1,279,625.4","1,435,568.1","2,755,881.5","1,856,277.7","1,534,890.6","1,703,925.9","1,662,535.6","2,520,342.3","1,882,800.2","2,307,030.1","2,147,635.4","2,867,184.3","2,125,713.4","2,658,038.4","2,161,208.6","3,087,149.1","2,247,848.1","2,112,780.1","2,035,926.4","2,200,280.9","2,373,035.6","2,640,252.0","2,850,851.1","4,022,739.7","3,082,835.8","3,780,566.4","6,666,925.0","4,763,395.8","3,041,150.5","3,744,955.5","3,436,630.0","5,142,453.2"
Обрабатывающая промышленность,"439,983.2","629,308.9","637,328.6","763,183.4","568,258.4","795,178.2","967,067.1","800,683.3","650,928.0","786,827.9","933,647.0","1,065,327.6","777,608.3","760,181.0","943,975.6","1,346,722.0","887,560.5","861,773.0","1,108,634.6","1,235,881.0","977,723.6","794,929.9","1,065,031.3","1,363,327.3","1,145,831.0","1,076,373.6","2,431,956.3","1,813,567.0","1,337,369.0","1,223,388.3","1,478,344.4","2,094,918.8","1,518,777.7","1,473,602.6","1,706,374.3","2,366,367.0","1,631,421.7","1,686,607.7","1,846,508.3","2,808,326.4","1,953,607.5","1,800,813.8","2,134,496.9","3,346,699.4","2,360,000.8","2,146,592.0","2,765,958.2","4,152,214.7","2,907,249.4","2,636,813.4","6,292,825.2","5,000,152.1","3,374,411.5","2,807,685.1","3,263,086.1","5,232,157.5"
"Снабжение электроэнергией, газом, паром, горячейводой  и кондиционированнымвоздухом","108,062.6","71,351.2","83,275.0","128,547.6","127,691.4","86,825.8","102,273.2","162,143.3","152,777.3","101,172.4","93,893.3","170,781.1","169,352.0","124,633.2","112,072.4","174,260.0","189,751.2","137,178.5","128,943.3","181,656.2","204,613.1","152,820.1","140,895.9","195,260.3","222,948.3","160,362.2","385,118.5","230,054.1","256,585.4","167,289.4","205,425.7","274,222.2","276,591.4","202,153.4","213,047.2","303,628.5","265,181.8","203,193.2","239,812.0","272,608.2","291,412.1","235,768.9","283,824.2","286,119.9","326,108.6","261,961.4","306,120.1","415,854.2","355,660.3","292,044.7","683,194.9","477,219.2","402,803.4","352,393.5","370,975.7","563,830.4"
"Водоснабжение; сбор, обработка и удаление отходов, деятельность поликвидации загрязнений","13,113.5","19,088.6","14,341.0","20,274.3","19,956.5","16,092.6","23,888.7","35,158.0","20,387.8","24,665.2","26,786.2","27,771.2","22,292.7","21,946.0","24,281.0","30,978.4","25,501.5","23,248.2","27,070.6","28,151.9","26,911.1","23,387.7","26,617.7","24,890.7","27,531.1","25,413.8","56,934.3","35,007.8","31,553.6","28,947.3","37,990.2","43,243.4","36,218.3","37,352.0","36,804.9","45,713.6","41,823.1","38,683.9","39,472.3","48,744.4","47,811.0","42,120.6","46,628.4","32,033.2","53,566.9","45,000.0","53,240.6","68,099.2","60,330.7","55,132.9","120,431.8","73,159.1","68,684.0","62,367.3","71,392.3","77,469.2"
Строительство,"214,917.5","340,102.7","517,162.0","608,320.3","240,435.5","339,678.5","504,022.2","732,475.3","256,943.0","419,862.6","581,899.0","656,987.6","256,581.6","477,741.0","606,847.3","804,078.6","276,758.1","539,685.7","644,126.2","897,423.8","294,066.5","599,098.3","752,993.8","801,577.5","320,996.4","664,007.0","1,172,463.2","922,290.2","365,684.0","681,801.4","905,369.3","1,024,261.5","393,425.4","749,720.2","979,351.5","1,163,417.8","444,065.4","857,979.7","1,164,675.1","1,344,576.6","602,371.2","939,167.1","1,238,343.1","1,505,220.9","682,917.7","1,053,958.4","1,344,619.3","1,684,056.9","775,396.2","1,214,481.1","2,222,283.9","2,017,927.3","910,354.9","1,414,970.4","1,697,042.0","2,698,557.8"
Оптовая и розничнаяторговля; ремонт автомобилей и мотоциклов,"531,247.1","584,662.9","715,434.2","1,002,875.1","656,672.0","725,402.4","1,124,513.9","1,312,730.9","771,368.3","973,570.2","1,245,037.4","1,634,818.9","892,689.0","1,152,162.4","1,663,247.6","1,707,876.3","1,082,882.5","1,445,955.7","1,846,699.3","1,957,211.6","1,319,338.3","1,466,108.6","1,757,046.4","2,451,522.5","1,399,703.7","1,652,081.7","3,392,755.1","2,854,012.9","1,550,590.6","1,766,396.3","2,119,362.3","3,704,812.7","1,726,118.0","1,998,316.4","2,351,134.1","4,290,937.6","1,941,902.1","2,293,002.3","2,653,698.7","4,899,760.9","2,256,100.0","1,844,880.6","2,578,879.1","5,486,177.9","2,371,895.2","2,400,155.4","3,096,558.5","6,237,585.5","2,813,396.2","2,855,499.5","6,448,744.2","7,742,634.0","3,798,911.0","3,580,513.0","4,527,422.5","9,909,582.9"
Транспорт и складирование,"291,463.0","350,764.6","472,506.0","636,102.0","359,362.0","358,131.1","573,414.6","646,129.9","413,005.0","445,802.0","576,093.4","859,228.5","501,245.8","545,605.0","651,794.1","1,037,893.2","585,103.5","621,197.7","732,113.5","1,206,180.5","723,127.6","645,739.9","745,837.7","1,405,840.3","817,053.9","806,800.9","1,629,172.7","1,440,034.2","903,001.0","867,243.4","917,444.3","1,765,986.0","963,303.1","1,018,610.5","1,074,968.0","2,008,598.9","1,084,730.3","1,155,008.3","1,174,436.7","2,175,675.3","1,188,676.2","906,892.1","967,068.8","1,762,026.7","1,077,190.9","1,039,292.4","1,161,863.7","2,440,410.0","1,282,344.1","1,204,319.5","2,574,466.0","2,612,657.8","1,342,075.8","1,425,833.7","1,369,666.7","2,615,286.8"
Предоставление услуг по проживанию и питанию,"43,986.6","31,953.0","49,251.3","63,744.5","55,024.0","38,925.9","59,776.2","85,866.7","63,853.0","42,726.0","69,436.1","101,313.0","73,196.4","50,601.1","74,743.9","112,639.0","79,861.3","56,850.9","91,188.1","138,605.5","93,168.0","61,865.2","102,545.9","162,605.9","104,044.3","72,549.1","230,816.7","225,405.6","117,747.4","73,902.5","146,487.3","307,329.9","130,431.4","83,486.4","121,435.0","368,504.7","141,712.1","96,356.1","133,478.8","421,782.6","152,402.6","93,401.8","109,546.9","367,384.7","159,972.4","107,588.3","122,086.3","423,105.2","170,742.6","133,167.0","327,803.7","591,098.6","227,758.0","149,646.1","200,223.3","727,880.4"
Информация и связь,"112,890.4","141,236.5","138,518.9","282,588.4","137,498.6","171,326.9","160,405.2","229,740.2","140,205.5","169,552.4","191,435.2","310,152.6","144,267.5","188,422.4","222,002.9","391,468.6","159,612.6","203,548.3","239,442.3","402,625.8","165,251.9","212,685.3","252,168.9","441,708.4","167,322.6","202,096.4","396,011.3","380,309.7","176,290.0","211,174.7","241,695.7","460,101.4","190,716.1","225,225.1","245,822.3","520,918.1","208,549.1","242,174.4","267,390.6","631,447.8","258,400.7","286,751.6","293,130.3","832,278.4","289,248.9","357,065.8","373,040.9","932,801.1","339,517.9","411,170.0","748,801.7","949,115.7","410,940.0","567,465.7","528,988.9","1,087,763.4"
Финансовая и страховая деятельность,"148,655.2","233,067.1","183,298.0","227,379.2","187,921.8","241,766.4","193,141.5","-72,326.2","149,167.2","163,487.5","185,073.3","157,620.0","193,180.1","316,757.5","210,445.1","266,160.8","234,028.5","228,187.8","287,551.5","449,650.5","269,626.1","262,033.9","417,883.2","481,160.7","385,184.2","410,546.0","815,895.3","442,317.1","376,387.9","463,095.3","590,287.5","590,750.9","450,305.8","506,489.6","478,602.1","612,605.3","511,343.6","399,889.6","503,146.6","819,004.4","710,435.5","291,638.0","705,888.2","668,283.4","633,709.9","526,053.8","661,047.1","617,405.2","704,703.1","710,389.7","1,574,161.0","887,085.0","890,258.5","995,655.8","951,626.2","1,038,682.3"
Операции с недвижимым имуществом,"383,305.3","439,590.9","378,764.7","682,767.7","453,937.6","478,663.5","414,665.3","1,043,473.6","551,021.9","533,155.7","446,448.9","1,128,828.4","602,442.1","578,661.2","515,787.1","1,322,462.6","628,977.4","614,753.2","603,838.3","1,435,442.0","709,939.6","776,092.6","703,055.8","1,496,492.4","782,689.8","861,086.1","1,571,362.7","1,668,728.0","854,400.2","928,775.2","911,508.6","1,820,679.5","949,332.1","941,421.4","887,092.6","2,015,801.6","1,036,448.9","1,000,218.8","973,259.3","2,212,763.9","1,159,483.8","951,749.8","1,578,940.7","1,457,474.7","1,253,990.1","911,652.0","1,454,287.2","1,866,473.9","1,466,134.8","1,108,211.9","3,322,586.6","2,301,763.5","1,924,522.9","1,600,754.0","2,377,466.4","3,039,416.4"
"Профессиональная, научная и техническая деятельность","214,186.3","167,229.2","168,827.6","291,603.0","273,745.3","208,801.6","215,161.0","572,341.1","342,016.7","254,321.5","252,093.5","533,508.1","402,073.1","278,618.8","286,061.1","563,304.1","428,658.9","320,171.7","326,865.6","594,946.8","501,888.5","348,418.9","357,583.8","656,517.7","564,312.3","415,607.6","969,849.1","950,510.4","576,005.4","444,500.4","418,770.7","1,018,122.4","649,979.3","501,552.8","447,878.6","1,143,516.2","713,415.7","562,791.1","471,328.5","1,315,214.6","812,417.5","524,371.7","439,506.1","1,143,642.1","853,046.6","494,146.9","443,098.6","1,316,254.5","903,993.1","525,402.6","1,410,400.6","1,491,679.1","1,170,842.4","651,011.7","703,140.5","1,663,144.3"
Деятельность в области административного и вспомогательного обслуживания,"105,334.9","88,033.7","97,467.3","129,011.1","115,858.3","106,729.1","102,214.5","166,245.5","125,496.9","110,476.7","126,769.5","191,070.4","140,975.5","124,613.5","139,227.1","232,292.5","168,755.0","143,916.8","170,419.7","269,833.4","191,458.6","162,170.3","164,967.2","327,884.2","215,734.4","192,316.2","419,259.6","393,738.5","251,375.1","246,150.2","265,581.7","477,660.3","290,163.1","281,207.2","287,991.7","512,070.8","322,876.2","330,350.1","323,645.7","623,442.9","376,034.8","334,182.7","274,579.4","625,024.1","360,014.9","278,113.3","325,548.7","778,151.6","407,960.4","354,067.7","876,706.9","988,386.0","515,538.2","450,953.4","626,606.4","1,228,667.7"
Государственное управление и оборона; обязательное социальное обеспечение,"79,134.8","109,827.8","108,854.3","158,600.1","98,907.6","93,555.0","161,387.3","197,685.3","138,276.2","162,144.3","144,299.8","163,652.8","146,500.9","164,231.3","205,931.6","194,775.7","173,520.5","196,893.2","191,018.3","211,791.0","189,168.0","205,087.6","176,299.5","238,853.6","223,889.7","207,288.9","425,400.1","223,437.3","210,388.3","202,613.6","407,714.9","93,812.8","208,513.3","215,180.2","237,883.6","272,440.5","244,017.8","281,912.6","283,240.5","366,169.5","287,151.1","329,158.3","314,985.0","411,699.3","351,848.5","381,238.6","368,866.0","431,153.5","412,324.6","461,803.1","878,923.5","620,336.6","502,422.2","537,396.8","508,839.3","940,410.1"
