Year,Quarter,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",Горнодобывающая промышленность и разработка карьеров,Public_Admin_Defense,Admin_Support_Services,Healthcare_Social_Services,Info_Communication,Arts_Entertainment_Recreation,Обрабатывающая промышленность,Education,Real_Estate,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Other_Services,Accommodation_Food_Services,Professional_Technical_Services,Agriculture_Forestry_Fishing,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",Construction,Transport_Storage,Finance_Insurance,GDP,Population,Inflation,GDP_Growth
2013,2,2535.881,293772.395,242701.85499999998,3465.1530000000002,3633.141,18924.591,1724.178,159929.533,13980.262999999999,80924.62299999999,27726.974000000002,1659.126,2384.167,148361.657,24224.866,42927.839,71224.453,250363.962,22618.124000000003,7533057.199999999,17010564,4.8,8.125842999827038
2013,3,3006.701,308270.146,305130.549,4870.387,3742.264,26811.192000000003,1399.9470000000001,159071.563,4939.134,75427.561,27108.07,2545.179,2445.217,168625.18099999998,34041.328,54915.471000000005,85542.138,327778.6,22370.852,9268001.2,17075743,4.8,23.031074289466446
2013,4,12885.694,418419.46900000004,393187.054,5433.452,7383.443,39265.385,2321.6910000000003,215568.62099999998,7721.715,96127.95,47151.629,7910.585000000001,2056.784,147820.88400000002,32426.522,109095.402,107844.163,389536.323,24929.336,12231031.700000003,17145746,4.8,31.97054506207879
2014,1,1871.33,239827.544,70851.777,13606.648000000001,1780.3690000000001,11207.29,610.7650000000001,104419.591,5076.249,84957.232,18891.503,4988.067,1301.591,98813.9,16433.436999999998,27760.667,60576.266,87614.735,11627.081,7933827.5,17207594,7.4,-35.13362000361754
2014,2,1689.018,363831.913,312708.566,27797.980000000003,4058.589,19321.109,961.124,158719.99,5881.895,83777.749,26505.321,3599.6369999999997,4633.248,95749.878,32630.449,49759.253,98082.473,195217.647,25122.131,8549124.7,17264584,7.4,7.755363977853058
2014,3,4266.359,428885.368,397421.58,35013.785,15845.877999999999,20373.953,4344.818,173485.838,15082.406,82368.643,39097.729,4218.639999999999,5599.689,106090.425,45718.239,75517.58499999999,150430.432,221697.576,13682.158,10558035.100000001,17330494,7.4,23.498433705148813
2014,4,12486.502,566184.6,376635.002,28565.32,7266.832,43107.253,1805.4,223692.135,20458.831,94522.837,44990.544,4196.174999999999,6135.798,122954.956,40400.775,138672.919,140034.207,233665.636,27216.139,12634845.599999998,17397181,7.4,19.670426176173606
2015,1,1981.18,317404.783,67141.754,8559.689,3827.9249999999997,14525.3,653.08,130339.841,1211.075,93873.283,17133.378,1543.913,2769.511,84100.231,15532.154,28307.242,69157.044,99684.997,10421.223999999998,8267517.7,17458493,13.6,-34.565740162269954
2015,2,3487.7309999999998,391561.45200000005,276029.099,20968.457000000002,6447.168,12823.981,2974.629,147537.18,15753.79,137688.385,26801.322,3409.749,6955.677,139147.673,30294.989,77260.574,139123.654,140277.41999999998,16634.611,8536900.400000002,17519043,13.6,3.258326256743338
2015,3,3252.483,405234.796,309652.17,27711.146,6071.862999999999,17448.176,2072.419,184562.418,18623.873,133768.591,30962.269,5194.023999999999,3055.973,187015.676,42207.2,93236.316,181468.53399999999,164288.731,34248.733,10632118.599999998,17584034,13.6,24.543078890787996
2015,4,11994.608,577254.583,285268.863,35002.442,6818.683,42530.451,1761.541,293441.46,15745.643,127725.443,41840.04,2184.633,7857.511,206904.22699999998,38164.133,135445.056,188005.537,262487.904,34272.316,13447596.900000002,17651363,13.6,26.480877480053742
2016,1,2999.911,396813.26800000004,69053.64,5152.003,4647.655,9205.497,450.54499999999996,147602.251,8865.732,127270.398,20110.144999999997,3700.0119999999997,2210.728,142108.073,19854.185,29509.018,77274.184,76704.81,12336.675000000001,9309090.9,17711732,8.5,-30.775059891927615
2016,2,6830.384,459574.09500000003,214685.52500000002,20895.945,4930.543,14872.205,688.377,234143.26400000002,18852.442,168607.925,39435.758,3989.885,7524.814,176598.30599999998,50591.644,56340.23,161122.358,164983.823,33006.245,10047965.999999998,17773579,8.5,7.937134871032336
2016,3,10276.219,513188.774,270615.67000000004,31577.165,7451.462,12860.350999999999,2070.6369999999997,165070.95799999998,23737.92,145605.26299999998,30346.822,3943.126,3353.949,195517.706,77914.11,88570.756,171458.961,167930.037,31549.764,11998069.200000003,17841582,8.5,19.407939875592795
2016,4,18048.195,726634.443,368938.81299999997,29310.153,12996.101999999999,20422.554,3295.2090000000003,291852.461,30646.552,188986.278,44618.315,5675.786,15156.963,176112.826,52554.798,123785.793,223212.884,253103.644,29380.901,15616023.899999999,17905993,8.5,30.154474354923664
2017,1,3960.63,460053.6,201293.376,10549.704000000002,2797.993,7264.659,1200.551,193490.454,6463.4,14779.992,18175.862,8830.291000000001,5861.001,21139.789,23768.589,24221.976000000002,82577.102,86275.754,13596.342,10431358.0,17963212,7.1,-33.200934714245655
2017,2,12697.350999999999,682076.746,381047.218,24056.718,4752.451,15385.327000000001,2030.646,189190.711,25570.169,28839.059999999998,33717.03,21955.557,8810.775,40276.647000000004,47624.182,95596.49600000001,212974.033,146153.005,28576.657,11114911.7,18014167,7.1,6.552873556827388
2017,3,13977.654,830871.7609999999,499399.273,32580.549,8805.419,18251.674,3183.514,192742.978,31771.254,34219.782,44136.210999999996,15611.687,12229.27,50126.607,67900.125,100440.213,151673.232,211057.002,32949.757,13595795.500000004,18074095,7.1,22.320319467765138
2017,4,39357.740999999995,873539.764,520922.88899999997,24590.444,32893.103,21785.326,11660.585000000001,372933.81799999997,27617.373,60951.185,66049.552,29184.006999999998,11248.454,83614.334,110685.015,163315.522,382896.15,213692.101,26946.439,19236792.599999994,18137328,7.1,41.490746900392764
2018,1,52.211,286463.555,5049.989,254.31400000000002,2.878,352.386,72.076,34755.319,95.194,3638.3199999999997,1238.3980000000001,266.68399999999997,2.8979999999999997,11124.726,2751.666,3615.679,1943.452,863.996,1012.7090000000001,11786166.7,18195878,5.3,-38.73112350340564
2018,2,256.129,439546.459,12304.791000000001,348.199,34.059,124.856,206.303,57056.051,904.134,1995.577,2428.513,73.694,29.189999999999998,22103.515,7914.555,4480.337,1958.681,1458.9859999999999,1223.412,13070952.5,18253314,5.3,10.9007944033237
2018,3,495.72499999999997,628245.375,18277.059999999998,1694.818,52.528,134.323,491.809,39938.8,329.86699999999996,3028.761,1514.571,876.5600000000001,26.558,25063.408,9318.289,3545.996,1959.496,1364.821,1333.42,14909986.500000004,18311735,5.3,14.069624994811992
2018,4,545.293,808227.372,21953.981,111.242,26.516,750.0840000000001,732.002,52666.7,1878.688,5509.724,1629.9550000000002,810.043,77.64099999999999,27468.268,5962.54,7003.086,10484.221000000001,4547.1849999999995,4078.069,22052430.699999996,18376178,5.3,47.90376034210353
2019,1,537.657,660520.291,6676.0869999999995,135.665,22.81,569.832,5.603,9962.54,127.836,1580.883,343.879,239.90800000000002,52.121,12945.645,5320.139,3094.82,5187.948,1765.9379999999999,477.14300000000003,13180857.2,18431474,5.4,-40.22945869636039
2019,2,9632.983,386770.96400000004,11774.123,146.531,35.485,262.164,80.46499999999999,25484.487999999998,402.179,2015.876,7789.512,646.4169999999999,505.802,15110.928,11719.962,4912.921,4008.726,1789.492,2529.802,14727760.900000002,18489704,5.4,11.735987094981981
2019,3,71.049,574091.9979999999,13349.661,309.99,71.232,1055.865,59.605,13299.879,409.382,1725.917,1131.433,546.276,126.069,20394.587,9830.78,6334.858,8117.094,4696.448,1171.463,16389294.0,18547476,5.4,11.281640918002655
2019,4,774.46,806550.595,22184.933,113.995,231.0,9040.02,858.936,57087.039000000004,2258.2690000000002,2222.797,10371.041,1178.373,57.631,20121.773999999998,7761.019,6241.546,6117.812,1406.336,3629.537,25234714.4,18611095,5.4,53.97072259488418
2020,1,8.679,491766.424,4572.174,20.02,17.612,604.372,6.755,2904.118,115.46600000000001,1052.6109999999999,6707.518000000001,12.117999999999999,901.1750000000001,5934.745,7147.757,1976.6009999999999,1976.1490000000003,1636.179,1023.768,15093342.4,18671503,7.5,-40.188178234345294
2020,2,39.64,580929.518,12414.484,87.831,68.415,275.798,15.530999999999999,12671.440999999999,443.25,1551.268,883.6410000000001,347.20799999999997,126.333,4927.968000000001,13636.929,1792.3020000000001,2198.508,1669.977,2710.821,13306250.299999999,18735893,7.5,-11.840267401606164
2020,3,96.748,419288.55199999997,12634.68,239.413,21.181,733.504,90.324,15049.65,1046.835,2206.869,1142.261,1094.402,6421.558,3024.211,11895.879,3547.547,4611.412,2218.035,3592.004,17403662.500000004,18784972,7.5,30.793139371502765
2020,4,269.755,369387.96400000004,27696.906,148.325,238.648,876.4870000000001,1056.884,9718.169,2293.6459999999997,2370.754,2732.651,641.4119999999999,117.667,9818.092,14234.963,3963.469,4054.065,4788.351,2237.228,24845778.0,18852802,7.5,42.7617778729046
2021,1,15.379999999999999,311911.717,4752.153,7.752,48.796,123.22999999999999,2.614,6697.122,215.41199999999998,854.481,1376.56,1707.3560000000002,283.464,10028.542,6362.602000000001,2001.32,1222.951,1734.9,898.5509999999999,15938671.5,18917184,8.4,-35.84957774314815
2021,2,46.774,374020.608,16326.831,105.035,733.6039999999999,152.813,426.51800000000003,13092.100999999999,170.877,1183.587,1474.926,152.971,548.656,18293.591,17574.722,1171.2910000000002,2891.273,4665.236,893.2,16326765.0,18984845,8.4,2.434917489829691
